pseudo_bulk	cluster	annotation
I93_Carp_S10	1	epithelial
I96_Carp_S10	1	epithelial
I97_Carp_S10	1	epithelial
I99_Carp_S10	1	epithelial
C108_Carp_S11	1	epithelial
C111_Carp_S11	1	epithelial
C112_Carp_S11	1	epithelial
C113_Carp_S11	1	epithelial
C121_Carp_S11	1	epithelial
C125_Carp_S11	1	epithelial
C128_Carp_S11	1	epithelial
C134_Carp_S11	1	epithelial
C154_Carp_S11	1	epithelial
C161_Carp_S11	1	epithelial
C173_Carp_S11	1	epithelial
C176_Carp_S11	1	epithelial
C178_Carp_S11	5	fibroblast
C180_Carp_S11	1	epithelial
C184_Carp_S11	1	epithelial
C185_Carp_S11	1	epithelial
C194_Carp_S11	1	epithelial
C198_Carp_S11	1	epithelial
C208_Carp_S11	3	lymphoid
C230_Carp_S11	6	endothelial
C237_Carp_S11	1	epithelial
C239_Carp_S11	1	epithelial
C247_Carp_S11	1	epithelial
C27_Carp_S11	1	epithelial
C33_Carp_S11	1	epithelial
C35_Carp_S11	1	epithelial
C39_Carp_S11	1	epithelial
C41_Carp_S11	1	epithelial
C46_Carp_S11	1	epithelial
C48_Carp_S11	1	epithelial
C51_Carp_S11	1	epithelial
C58_Carp_S11	1	epithelial
C69_Carp_S11	1	epithelial
C75_Carp_S11	1	epithelial
C77_Carp_S11	1	epithelial
C83_Carp_S11	0	myeloid
C88_Carp_S11	1	epithelial
C92_Carp_S11	1	epithelial
C93_Carp_S11	1	epithelial
C94_Carp_S11	1	epithelial
I100_Carp_S11	1	epithelial
I108_Carp_S11	1	epithelial
I109_Carp_S11	1	epithelial
I110_Carp_S11	6	endothelial
I114_Carp_S11	1	epithelial
I116_Carp_S11	1	epithelial
I117_Carp_S11	1	epithelial
I124_Carp_S11	1	epithelial
I125_Carp_S11	1	epithelial
I128_Carp_S11	1	epithelial
I131_Carp_S11	1	epithelial
I134_Carp_S11	1	epithelial
I139_Carp_S11	1	epithelial
I142_Carp_S11	1	epithelial
I144_Carp_S11	1	epithelial
I150_Carp_S11	1	epithelial
I159_Carp_S11	1	epithelial
I15_Carp_S11	1	epithelial
I167_Carp_S11	1	epithelial
I170_Carp_S11	1	epithelial
I174_Carp_S11	1	epithelial
I178_Carp_S11	1	epithelial
I19_Carp_S11	1	epithelial
I208_Carp_S11	1	epithelial
I219_Carp_S11	1	epithelial
I223_Carp_S11	1	epithelial
I238_Carp_S11	1	epithelial
I251_Carp_S11	1	epithelial
I255_Carp_S11	1	epithelial
I256_Carp_S11	1	epithelial
I33_Carp_S11	1	epithelial
I62_Carp_S11	1	epithelial
I65_Carp_S11	1	epithelial
I68_Carp_S11	1	epithelial
I76_Carp_S11	1	epithelial
I81_Carp_S11	1	epithelial
I82_Carp_S11	1	epithelial
I83_Carp_S11	1	epithelial
I85_Carp_S11	1	epithelial
I88_Carp_S11	1	epithelial
I92_Carp_S11	1	epithelial
I97_Carp_S11	1	epithelial
I98_Carp_S11	1	epithelial
I11_Carp_S12	4	epithelial_malignant
I18_Carp_S12	4	epithelial_malignant
I19_Carp_S12	4	epithelial_malignant
I1_Carp_S12	0	myeloid
I21_Carp_S12	4	epithelial_malignant
I22_Carp_S12	4	epithelial_malignant
I23_Carp_S12	4	epithelial_malignant
I24_Carp_S12	4	epithelial_malignant
I35_Carp_S12	4	epithelial_malignant
I9_Carp_S12	4	epithelial_malignant
C22_Carp_S13	3	lymphoid
C2_Carp_S13	5	fibroblast
C35_Carp_S13	6	endothelial
C55_Carp_S13	0	myeloid
C5_Carp_S13	1	epithelial
I16_Carp_S13	1	epithelial
I17_Carp_S13	1	epithelial
I22_Carp_S13	1	epithelial
I24_Carp_S13	1	epithelial
I26_Carp_S13	1	epithelial
I29_Carp_S13	1	epithelial
I35_Carp_S13	1	epithelial
I44_Carp_S13	1	epithelial
I7_Carp_S13	4	epithelial_malignant
I9_Carp_S13	1	epithelial
C11_Carp_S14	2	myeloid
C14_Carp_S14	6	endothelial
C15_Carp_S14	3	lymphoid
C19_Carp_S14	1	epithelial
C1_Carp_S14	1	epithelial
C24_Carp_S14	0	myeloid
C25_Carp_S14	1	epithelial
C29_Carp_S14	1	epithelial
C2_Carp_S14	0	myeloid
C30_Carp_S14	3	lymphoid
C39_Carp_S14	0	myeloid
C41_Carp_S14	0	myeloid
C42_Carp_S14	1	epithelial
C55_Carp_S14	4	epithelial_malignant
C58_Carp_S14	6	endothelial
C60_Carp_S14	1	epithelial
C62_Carp_S14	5	fibroblast
C69_Carp_S14	0	myeloid
C74_Carp_S14	1	epithelial
C7_Carp_S14	3	lymphoid
C8_Carp_S14	0	myeloid
I26_Carp_S14	5	fibroblast
I31_Carp_S14	1	epithelial
I34_Carp_S14	1	epithelial
I36_Carp_S14	1	epithelial
I38_Carp_S14	1	epithelial
I40_Carp_S14	1	epithelial
I43_Carp_S14	1	epithelial
I46_Carp_S14	1	epithelial
I51_Carp_S14	0	myeloid
I52_Carp_S14	3	lymphoid
I58_Carp_S14	1	epithelial
I67_Carp_S14	0	myeloid
I70_Carp_S14	5	fibroblast
I72_Carp_S14	2	myeloid
I75_Carp_S14	4	epithelial_malignant
I9_Carp_S14	3	lymphoid
C21_Carp_S15	2	myeloid
C22_Carp_S15	0	myeloid
C24_Carp_S15	0	myeloid
C31_Carp_S15	3	lymphoid
C40_Carp_S15	3	lymphoid
C73_Carp_S15	2	myeloid
C89_Carp_S15	0	myeloid
C91_Carp_S15	3	lymphoid
I107_Carp_S15	0	myeloid
I10_Carp_S15	3	lymphoid
I19_Carp_S15	4	epithelial_malignant
I22_Carp_S15	4	epithelial_malignant
I23_Carp_S15	3	lymphoid
I24_Carp_S15	3	lymphoid
I41_Carp_S15	4	epithelial_malignant
I46_Carp_S15	4	epithelial_malignant
I63_Carp_S15	4	epithelial_malignant
I68_Carp_S15	3	lymphoid
I8_Carp_S15	4	epithelial_malignant
C154_Carp_S19	3	lymphoid
C17_Carp_S19	0	myeloid
C235_Carp_S19	3	lymphoid
C76_Carp_S19	3	lymphoid
I105_Carp_S19	0	myeloid
I131_Carp_S19	0	myeloid
I18_Carp_S19	0	myeloid
I201_Carp_S19	3	lymphoid
I23_Carp_S19	2	myeloid
I24_Carp_S19	0	myeloid
I25_Carp_S19	0	myeloid
I268_Carp_S19	0	myeloid
I27_Carp_S19	3	lymphoid
I28_Carp_S19	0	myeloid
I30_Carp_S19	0	myeloid
I31_Carp_S19	0	myeloid
I37_Carp_S19	0	myeloid
